model,split,accuracy,precision,recall,f1
RandomForest,validation,0.8260869565217391,0.8170731707317073,0.881578947368421,0.8481012658227848
RandomForest,test,0.8913043478260869,0.8860759493670886,0.9210526315789473,0.9032258064516129
XGBoost,validation,0.8333333333333334,0.8354430379746836,0.868421052631579,0.8516129032258064
XGBoost,test,0.8913043478260869,0.9178082191780822,0.881578947368421,0.8993288590604027
LogisticRegression,validation,0.8623188405797102,0.8701298701298701,0.881578947368421,0.8758169934640523
LogisticRegression,test,0.8840579710144928,0.8846153846153846,0.9078947368421053,0.8961038961038961
MLP,validation,0.8695652173913043,0.8717948717948718,0.8947368421052632,0.8831168831168831
MLP,test,0.8985507246376812,0.8974358974358975,0.9210526315789473,0.9090909090909091
